"We will run a search for papers that 'study bees' [see ""word cloud input"" tab] and are in 'agriculture' with our search terms listed in the keywords, title, or abstract. Then we will (1) use the purple project criteria below to narrow down paper count; (2) use the green measurement criteria below to further refine; and (3) use the yellow reporting criteria below to get a final paper count. Finally, we will document what the paper measured (white columns) in order to bin the papers into hypothesis types.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First Screen,,,,Second Screen,,,,,Background Info,,,,,,,,,,,,,Sample Time Type (per trip in min. unless stated),,,,,,Abundance Type,,,,Sp Richness Type,,,,ID,Practice Impact on Bees,,,,,,,Landscape on Bees,,,Bee on Plant,,Plant on Bee,,,Other,,,,,Notes,Title,ID Specificity,,,Sampling Method,,,,Study Hypotheses,,,,,,Exclusive Sampling Methods,,,,,,
34,2017,Y,Y,Y,Y,N,Y/N,N,,Spain,,2014,3,27,,,1,A,4,,,Visual,,,,,25,,,,524,,,,NR,,Genus,,,,,,,,,,Y,,,Y,Y,,,,,,,,The role of field margins in supporting wild bees in Mediterranean cereal agroecosystems: Which biotic and abiotic factors are important?,Genus,8,Duplicate to separate collection methods,0,0,1,1,0,1,0,2,0,3,0,0,1,0,0,0,Europe
35,2018,Y,Y,Y,Y,N,Y,N,,Germany,,2013,2,28,,,1,A,5.5,7.0,4.0,Net,15,,,,,,1134,,,,46,,,,Species,,,,,,Y,,,,,,,Y,Y,Y,,,,,,All 28 sample plots within the same 2000m2 area; due to weather sample trips differed between years,Attractiveness of wildflower mixtures for wild bees and hoverflies depends on some key plant species,Species,9,"Different sampling trips per year, average used",1,0,0,1,1,0,0,3,0,4,1,0,0,0,0,0,Europe
36,2018,Y,Y,Y,Y,N,Y,N,Rarefaction,Canada,,2012,1,58,,,1,P,1,,,Net,40,,,,,,2348,,,,8,,,,"Genus, Species",,,,,,,,,,Y,,,Y,Y,Y,,,,Y,,Different number of people in different crops brings up the point that number of people not always reported but could be important!,Complementary crops and landscape features sustain wild bee communities,Genus,8,"Different measurements per crop, entry duplicated",1,0,0,1,0,1,0,3,1,5,1,0,0,0,0,0,North America
36,2018,Y,Y,Y,Y,N,Y,N,Rarefaction,Canada,,2012,1,58,,,1,B,1,,,Net,40,,,,,,781,,,,6,,,,"Genus, Species",,,,,,,,,,Y,,,Y,Y,Y,,,,Y,,Different number of people in different crops brings up the point that number of people not always reported but could be important!,Complementary crops and landscape features sustain wild bee communities,Genus,8,"Different measurements per crop, entry duplicated",1,0,0,1,0,1,0,3,1,5,1,0,0,0,0,0,North America
36,2018,Y,Y,Y,Y,N,Y,N,Rarefaction,Canada,,2012,1,58,,,1,R,1,,,Net,40,,,,,,5147,,,,16,,,,"Genus, Species",,,,,,,,,,Y,,,Y,Y,Y,,,,Y,,Different number of people in different crops brings up the point that number of people not always reported but could be important!,Complementary crops and landscape features sustain wild bee communities,Genus,8,"Different measurements per crop, entry duplicated",1,0,0,1,0,1,0,3,1,5,1,0,0,0,0,0,North America
37,2018,Y,Y,Y,Y,N,Y,N,,New Zealand,,2015,1,20,,,1,A,7.0,6,8,Visual (potted plants),,,,,10,,,,365,,,,4,,"Genus, Species",,,,,,,,,Y,Y,,,,,,,Y,,,,Also used sticky cards but did not report here because not common; 20 sites split between 2 properties separated by 50 m,"Do local landscape features affect wild pollinator abundance, diversity and community composition on canterbury farms?",Genus,8,That seems high for sampling trips,0,0,1,1,0,2,0,0,1,3,0,0,1,0,0,0,Oceania
38,2018,Y,Y,Y,Y,N,Y,N,,Thailand,,2015,1,24,,,1,A,1,,,Pan,,0.33,,,,,,3762,,,,9,,,"Genus, Species",,,,,,,,,,Y,,,Y,,,Y,Y,,,,,Effects of landscape cover and local habitat characteristics on visiting bees in tropical orchards,Genus,8,Duplicate to separate collection methods,0,1,0,1,0,1,0,1,2,4,0,1,0,0,0,0,Asia
38,2018,Y,Y,Y,Y,N,Y,N,,Thailand,,2015,1,24,,,1,A,1,,,Visual,,,,,120,,,,3842,,,,26,,"Genus, Species",,,,,,,,,,Y,,,Y,,,Y,Y,,,,,Effects of landscape cover and local habitat characteristics on visiting bees in tropical orchards,Genus,8,Duplicate to separate collection methods,0,0,1,1,0,1,0,1,2,4,0,0,1,0,0,0,Asia
39,2018,Y,Y,Y,Y,Y,Y,Y,,USA,NH,2014,3,9,,,1,A,14,,,"Pan traps, Net",36,0.33,,,,,,,,9105,,,,205,Species,,,,,,,,,Y,,,,,,,Y,,,,,Number of sample event reported as biweekly from April - Sep so I counted; total netting time not reported but I calculated it from reported methods,Farming for bees: annual variation in pollinator populations across agricultural landscapes,Species,9,,1,1,0,2,0,1,0,0,1,2,0,0,0,0,1,0,North America
40,2018,Y,Y,Y,Y,Y,Y,Y,,Belgium,,2014,2,4,,,1,A,6,,,Visual,,,,,30,,,,1813,,,,13,,Species,,,,Y,,,,,,,,,Y,Y,Y,,,,,,Calculated abundance and sp richness from a figure,Flower-strip agri-environment schemes provide diverse and valuable summer flower resources for pollinating insects,Species,9,,0,0,1,1,1,0,0,3,0,4,0,0,1,0,0,0,Europe
41,2018,Y,Y,Y,Y,N,Y,N,,Brazil,,2013,2,34,,,1,A,2,,,Net,20,,,,,,115,,,,19,,,,"Genus, Species",,,,,,,,,Y,Y,Y,,,,,,,,,,,Landscape and crop management strategies to conserve pollination services and increase yields in tropical coffee farms,Genus,8,,1,0,0,1,0,2,1,0,0,3,1,0,0,0,0,0,South America
42,2018,Y,Y,Y,Y,N,Y,Y/N,,France,,2013,1,30,,,2,A,2,,,Pan traps,,4.00,,,,,,2372,,,,65,,,"Species, Morpho-species",,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Morphospecies,7,,0,1,0,1,0,2,1,2,0,5,0,1,0,0,0,0,Europe
42,2018,Y,Y,Y,Y,N,Y,Y/N,,Germany,,2013,1,32,,,2,A,2,,,Pan traps,,4.00,,,,,,3354,,,,85,,,"Species, Morpho-species",,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Morphospecies,7,,0,1,0,1,0,2,1,2,0,5,0,1,0,0,0,0,Europe
42,2018,Y,Y,Y,Y,N,Y,Y/N,,Spain,,2013,1,20,,,2,A,2,,,Pan traps,,4.00,,,,,,3042,,,,110,,,"Species, Morpho-species",,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Morphospecies,7,,0,1,0,1,0,2,1,2,0,5,0,1,0,0,0,0,Europe
42,2018,Y,Y,Y,Y,N,Y,Y/N,,UK,,2013,1,12,,,2,A,2,,,Pan traps,,4.00,,,,,,545,,,,9,,,"Species, Morpho-species",,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Morphospecies,7,,0,1,0,1,0,2,1,2,0,5,0,1,0,0,0,0,Europe
43,2018,Y,Y,Y,Y,N,Y,N,,USA,NY,2013,3,12,,,1,A,4,,,Visual,,,,,10,,,,5684,,,,99,,Species,,,,Y,,Y,,,,Y,Y,,Y,,,,Y,,,,,Landscape context shifts the balance of costs and benefits from wildflower borders on multiple ecosystem services,Species,9,,0,0,1,1,2,1,1,1,1,6,0,0,1,0,0,0,North America
44,2018,Y,Y,Y,Y,Y,Y,Y,,USA,MI,2015,3,10,,,1,B,4,,,Net,50,,,,,,1546,,,,109,,,,"Genus, Species",,,,Y,,,,,,,Y,,Y,Y,,,,,,,"This paper also had a second set of data for surveys in crop fields, but they did not report full species numbers so only reporting the surveys in flower strips here",Limited phenological and dietary overlap between bee communities inspringflowering crops and herbaceous enhancements,Genus,8,"Multiple Methods per crop, duplicate entries made",1,0,0,1,1,0,1,2,0,4,1,0,0,0,0,0,North America
44,2018,Y,Y,Y,Y,Y,Y,Y,,USA,MI,2015,3,10,,,1,C,3,,,Net,50,,,,,,840,,,,79,,,,"Genus, Species",,,,Y,,,,,,,Y,,Y,Y,,,,,,,"This paper also had a second set of data for surveys in crop fields, but they did not report full species numbers so only reporting the surveys in flower strips here",Limited phenological and dietary overlap between bee communities inspringflowering crops and herbaceous enhancements,Genus,8,"Multiple Methods per crop, duplicate entries made",1,0,0,1,1,0,1,2,0,4,1,0,0,0,0,0,North America
45,2018,Y,Y,Y,Y,N,Y,N,,Italy,,2015,2,25,,,1,A,1,,,Visual,,,,,20,,,,2449,,,,14,,"Species, Morpho-species",,,,,,,,,,Y,Y,,,,,,,,,,,Local and landscape factors effect sunflower pollination in a Mediterranean ecosystem,Morphospecies,7,,0,0,1,1,0,1,1,0,0,2,0,0,1,0,0,0,Europe
46,2018,Y,Y,Y,Y,N,Y,N,,USA,CA,2006,9,15,,,1,A,4.0,3,5,Net,60,,,,,,7179,,,,101,,,,"Species, Morpho-species",,,Y,,,,,,,,,,Y,Y,,Y,,,Y,,,Pollinator community assembly tracks changes in floral resources as restored hedgerows mature in agricultural landscapes,Morphospecies,7,That seems high for sampling trips,1,0,0,1,1,0,0,2,2,5,1,0,0,0,0,0,North America
47,2018,Y,Y,Y,Y,Y,Y,Y,,USA,SC,2016,1,126,,,1,A,3,,,"Pan traps, Net",20,1.00,,,,,,,,1026,,,,88,Species,,Y,,,,,,,,,,Y,Y,Y,,,,,,,,Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Species,9,,1,1,0,2,1,0,1,2,0,4,0,0,0,0,1,0,North America
48,2018,Y,Y,Y,Y,N,Y,N,,Germany,,2013,1,36,,,1,A,3,,,Pan traps,,7.00,,,,,,1915,,,,81,,,Species,,,,,,,,,,,,,Y,Y,,,,,Y,,,Small-scale agricultural landscapes and organic management support wild bee communities of cereal field boundaries,Species,9,,0,1,0,1,0,0,0,2,1,3,0,1,0,0,0,0,Europe
