study_id,title,continent,country,state_usa,start_year,duration_years,site_count,transects_per_site,subsection,sample_trips_per_year_avrg,combined_methods,collection_method,net_sampling,pan_sampling,visual_sampling,combined_sampling,net_sampling_only,pan_sampling_only,visual_sampling_only,combined_sampling_only,net_time_minute,pan_time_days,visual_time_days,net_abundance,pan_abundance,visual_abundance,combined_abundance,net_richness,pan_richness,visual_richness,combined_richness,identification_all,identification_least,Practice,Landscape,Bee on Plant,Plant on Bee,Other,Total N,Crop Veg.,Natural Area,Hedgerow,Flower Strips,Pesticide Use,Focus on Seed Mix,Sampled at Inception,Geographic Spread,Habitat Type,Landscape Influence,Impact to Crop,Impact to Other Plants,Plant Diversity,Bloom Cover,Network Measures,Bee Functional Diversity,Non-bee Sampling,Impact to Bee Health,Nesting Resources
31,"Exploring the relationships between landscape complexity, wild bee species richness and reproduction, and pollination services along a complexity gradient in the Netherlands",Europe,Netherlands,,2012,1,20,1,A,2,N,Pan traps,0,1,0,1,0,1,0,0,,2.00,,,532,,,,44,,,,Morphospecies,0,1,1,2,2,6,,,,,,,,,,Y,Y,,Y,Y,,Y,,,Y
32,Farm and landscape factors interact to affect the supply of pollination services,North America,USA,VT,2013,3,15,1,A,3,N,Net,1,0,0,1,1,0,0,0,10,,,1831,,,,86,,,,"Species, Morpho-species",Morphospecies,1,1,0,1,0,3,,Y,,,,,,,,Y,,,,Y,,,,,
32,Farm and landscape factors interact to affect the supply of pollination services,North America,USA,VT,2013,3,15,1,A,3,N,Visual,0,0,1,1,0,0,1,0,,,40,,,,4706,,,89,,"Species, Morpho-species",Morphospecies,1,1,0,1,0,3,,Y,,,,,,,,Y,,,,Y,,,,,
33,Landscapes with high intensive fruit cultivation reduce wild pollinator services to sweet cherry,Europe,Belgium,,2015,1,7,1,A,1,N,Net,1,0,0,1,1,0,0,0,180,,,349,,,,12,,,,Species,Species,0,1,1,0,1,3,,,,,,,,,,Y,Y,,,,,,Y,,
34,The role of field margins in supporting wild bees in Mediterranean cereal agroecosystems: Which biotic and abiotic factors are important?,Europe,Spain,,2014,3,27,1,A,4,N,Pan,0,1,0,1,0,1,0,0,,0.29,,,3489,,,,26,,,Genus,Genus,0,1,0,2,0,3,,,,,,,,,,Y,,,Y,Y,,,,,
34,The role of field margins in supporting wild bees in Mediterranean cereal agroecosystems: Which biotic and abiotic factors are important?,Europe,Spain,,2014,3,27,1,A,4,N,Visual,0,0,1,1,0,0,1,0,,,25,,,524,,,,NR,,Genus,Genus,0,1,0,2,0,3,,,,,,,,,,Y,,,Y,Y,,,,,
35,Attractiveness of wildflower mixtures for wild bees and hoverflies depends on some key plant species,Europe,Germany,,2013,2,28,1,A,5.5,N,Net,1,0,0,1,1,0,0,0,15,,,1134,,,,46,,,,Species,Species,1,0,0,3,0,4,,,,,,Y,,,,,,,Y,Y,Y,,,,
36,Complementary crops and landscape features sustain wild bee communities,North America,Canada,,2012,1,58,1,P,1,N,Net,1,0,0,1,1,0,0,0,40,,,2348,,,,8,,,,"Genus, Species",Genus,0,1,0,3,1,5,,,,,,,,,,Y,,,Y,Y,Y,,,,Y
36,Complementary crops and landscape features sustain wild bee communities,North America,Canada,,2012,1,58,1,B,1,N,Net,1,0,0,1,1,0,0,0,40,,,781,,,,6,,,,"Genus, Species",Genus,0,1,0,3,1,5,,,,,,,,,,Y,,,Y,Y,Y,,,,Y
36,Complementary crops and landscape features sustain wild bee communities,North America,Canada,,2012,1,58,1,R,1,N,Net,1,0,0,1,1,0,0,0,40,,,5147,,,,16,,,,"Genus, Species",Genus,0,1,0,3,1,5,,,,,,,,,,Y,,,Y,Y,Y,,,,Y
37,"Do local landscape features affect wild pollinator abundance, diversity and community composition on canterbury farms?",Oceania,New Zealand,,2015,1,20,1,A,7.0,N,Visual (potted plants),0,0,1,1,0,0,1,0,,,10,,,365,,,,4,,"Genus, Species",Genus,0,2,0,0,1,3,,,,,,,,,Y,Y,,,,,,,Y,,
38,Effects of landscape cover and local habitat characteristics on visiting bees in tropical orchards,Asia,Thailand,,2015,1,24,1,A,1,N,Pan,0,1,0,1,0,1,0,0,,0.33,,,3762,,,,9,,,"Genus, Species",Genus,0,1,0,1,2,4,,,,,,,,,,Y,,,Y,,,Y,Y,,
38,Effects of landscape cover and local habitat characteristics on visiting bees in tropical orchards,Asia,Thailand,,2015,1,24,1,A,1,N,Visual,0,0,1,1,0,0,1,0,,,120,,,3842,,,,26,,"Genus, Species",Genus,0,1,0,1,2,4,,,,,,,,,,Y,,,Y,,,Y,Y,,
39,Farming for bees: annual variation in pollinator populations across agricultural landscapes,North America,USA,NH,2014,3,9,1,A,14,Y,"Pan traps, Net",1,1,0,2,0,0,0,0,36,0.33,,,,,9105,,,,205,Species,Species,0,1,0,0,1,2,,,,,,,,,Y,,,,,,,Y,,,
40,Flower-strip agri-environment schemes provide diverse and valuable summer flower resources for pollinating insects,Europe,Belgium,,2014,2,4,1,A,6,Y,Visual,0,0,1,1,0,0,1,0,,,30,,,1813,,,,13,,Species,Species,1,0,0,3,0,4,,,,Y,,,,,,,,,Y,Y,Y,,,,
41,Landscape and crop management strategies to conserve pollination services and increase yields in tropical coffee farms,South America,Brazil,,2013,2,34,1,A,2,N,Net,1,0,0,1,1,0,0,0,20,,,115,,,,19,,,,"Genus, Species",Genus,0,2,1,0,0,3,,,,,,,,,Y,Y,Y,,,,,,,,
42,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Europe,France,,2013,1,30,2,A,2,N,Pan traps,0,1,0,1,0,1,0,0,,4.00,,,2372,,,,65,,,"Species, Morpho-species",Morphospecies,0,2,1,2,0,5,,,,,,,,Y,,Y,Y,,Y,Y,,,,,
42,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Europe,Germany,,2013,1,32,2,A,2,N,Pan traps,0,1,0,1,0,1,0,0,,4.00,,,3354,,,,85,,,"Species, Morpho-species",Morphospecies,0,2,1,2,0,5,,,,,,,,Y,,Y,Y,,Y,Y,,,,,
42,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Europe,Spain,,2013,1,20,2,A,2,N,Pan traps,0,1,0,1,0,1,0,0,,4.00,,,3042,,,,110,,,"Species, Morpho-species",Morphospecies,0,2,1,2,0,5,,,,,,,,Y,,Y,Y,,Y,Y,,,,,
42,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Europe,UK,,2013,1,12,2,A,2,N,Pan traps,0,1,0,1,0,1,0,0,,4.00,,,545,,,,9,,,"Species, Morpho-species",Morphospecies,0,2,1,2,0,5,,,,,,,,Y,,Y,Y,,Y,Y,,,,,
43,Landscape context shifts the balance of costs and benefits from wildflower borders on multiple ecosystem services,North America,USA,NY,2013,3,12,1,A,4,N,Visual,0,0,1,1,0,0,1,0,,,10,,,5684,,,,99,,Species,Species,2,1,1,1,1,6,,,,Y,,Y,,,,Y,Y,,Y,,,,Y,,
44,Limited phenological and dietary overlap between bee communities inspringflowering crops and herbaceous enhancements,North America,USA,MI,2015,3,10,1,B,4,Y,Net,1,0,0,1,1,0,0,0,50,,,1546,,,,109,,,,"Genus, Species",Genus,1,0,1,2,0,4,,,,Y,,,,,,,Y,,Y,Y,,,,,
44,Limited phenological and dietary overlap between bee communities inspringflowering crops and herbaceous enhancements,North America,USA,MI,2015,3,10,1,C,3,Y,Net,1,0,0,1,1,0,0,0,50,,,840,,,,79,,,,"Genus, Species",Genus,1,0,1,2,0,4,,,,Y,,,,,,,Y,,Y,Y,,,,,
45,Local and landscape factors effect sunflower pollination in a Mediterranean ecosystem,Europe,Italy,,2015,2,25,1,A,1,N,Visual,0,0,1,1,0,0,1,0,,,20,,,2449,,,,14,,"Species, Morpho-species",Morphospecies,0,1,1,0,0,2,,,,,,,,,,Y,Y,,,,,,,,
46,Pollinator community assembly tracks changes in floral resources as restored hedgerows mature in agricultural landscapes,North America,USA,CA,2006,9,15,1,A,4.0,N,Net,1,0,0,1,1,0,0,0,60,,,7179,,,,101,,,,"Species, Morpho-species",Morphospecies,1,0,0,2,2,5,,,Y,,,,,,,,,,Y,Y,,Y,,,Y
47,Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,North America,USA,SC,2016,1,126,1,A,3,Y,"Pan traps, Net",1,1,0,2,0,0,0,0,20,1.00,,,,,1026,,,,88,Species,Species,1,0,1,2,0,4,,Y,,,,,,,,,,Y,Y,Y,,,,,
48,Small-scale agricultural landscapes and organic management support wild bee communities of cereal field boundaries,Europe,Germany,,2013,1,36,1,A,3,N,Pan traps,0,1,0,1,0,1,0,0,,7.00,,,1915,,,,81,,,Species,Species,0,0,0,2,1,3,,,,,,,,,,,,,Y,Y,,,,,Y
49,"Spatial community turnover of pollinators is relaxed by semi-natural habitats, but not by mass-flowering crops in agricultural landscapes",Europe,Germany,,2011,2,10,1,A,2,N,Pan traps,0,1,0,1,0,1,0,0,,3.00,,,5241,,,,93,,,,Morphospecies,1,1,0,1,0,3,,Y,,,,,,,,Y,,,,Y,,,,,
50,Tillage intensity or landscape features: what matters most for wild bee diversity in vineyards?,Europe,Austria,,2016,2,16,1,A,5,N,Net,1,0,0,1,1,0,0,0,15,,,493,,,,84,,,,Species,Species,0,1,0,0,1,2,,,,,,,,,Y,,,,,,,Y,,,
51,Wildflower strips enhance pollination in adjacent strawberry crops at the small scale,Europe,Switzerland,,2017,2,19,1,,3,Y,"Net, Visual",1,0,1,2,0,0,0,1,,,,,,,744,,,,27,"Genus, Species",Species,1,1,1,1,1,5,,,,Y,,,,,Y,,Y,,,Y,,,Y,,
52,Annual cover crops for managed and wild bees: optimal plant mixtures depend on pollinator enhancement goals,North America,USA,ND,2016,2,20,1,,8.5,N,Visual,0,0,1,1,0,0,1,0,,,5,,,4417,,,,30,,Morpho-species,Morphospecies,3,1,0,2,0,6,,,,Y,,Y,Y,,Y,,,,Y,Y,,,,,
53,Effects of landscape complexity on pollinator are moderated by pollinator association with mass-flowering crops,Europe,Italy,,2016,1,36,1,,4.65,N,Visual,0,0,1,1,0,0,1,0,,,30,,,11525,,,,171,,Species,Species,2,1,0,1,1,5,Y,Y,,,,,,,,Y,,,,Y,,,Y,,
54,Fruit quantity and quality of strawberries benefit from enhanced pollinator abundance at hedgerows in agricultural landscapes,Europe,Germany,,2016,1,21,1,,3,Y,"Net, Visual",1,0,1,2,0,0,0,1,5,,5,,,,18,,,,4,"Morpho-species, Species",Species,1,1,1,1,1,5,,,Y,,,,,,Y,,Y,,,Y,,,Y,,
55,Ground cover management with mixtures of flowering plants to enhance insect pollinators and natural enemies of pests in olive groves,Europe,Greece,,2011,3,12,1,,3,N,Visual,0,0,1,1,0,0,1,0,,,12,,,155,,,,3,,Genus,Genus,2,0,0,1,1,4,,,,Y,,Y,,,,,,,,Y,,,Y,,
57,Increasing crop heterogeneity enhances multitrophic diversity across agricultural regions,Europe,"France, UK, Germany, Spain, Canada",,2011,5,1305,1,,2,N,Pan traps,0,1,0,1,0,1,0,0,,4,,,13326,,,,343,,,Species,Species,2,2,0,0,1,5,Y,Y,,,,,,Y,,Y,,,,,,,Y,,
58,Landscape-modified concentration effect and waylaying effect of bees and their consequences on pollination of mass-flowering plants in agricultural ecosystems,Asia,China,,2017,1,11,1,,3,N,Visual,0,0,1,1,0,0,1,0,,,10,,,4385,,,10,,,"Genus, Species",Genus,1,1,1,0,1,4,,Y,,,,,,,,Y,,Y,,,,,Y,,
59,Late flowering time enhances insect pollination of turnip rape,Europe,Finland,,2017,1,34,1,,3,N,Visual,0,0,1,1,0,0,1,0,,,20,,,4188,,,,9,,"Morpho-species, Species",Species,1,1,1,0,1,4,,,,,Y,,,,,Y,Y,,,,,,Y,,
60,Nesting habitat enhancements for wild bees within soybean fields increases crop production,North America,USA,OH,2014,1,8,1,,6,N,Pan traps,0,1,0,1,0,1,0,0,,1,,,1724,,,,53,,,Species,Species,0,0,1,0,1,2,,,,,,,,,,,Y,,,,,,,,Y
61,"Pollinator diversity, floral resources and semi-natural habitat, instead of honey bees and intensive agriculture, enhance pollination service to sweet cherry",Europe,Belgium,,2016,2,18,1,,1,N,Net,1,0,0,1,1,0,0,0,225,,,1192,,,,22,,,,Species,Species,1,1,1,1,0,4,,Y,,,,,,,,Y,Y,,,Y,,,,,
62,"Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",Europe,Spain,,2016,1,16,1,,5,N,Net,1,0,0,1,1,0,0,0,15,,,134,,,,20,,,,Species,Species,0,1,0,2,1,4,,,,,,,,,,Y,,,Y,Y,,Y,,,
62,"Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",Europe,France,,2016,1,15,1,,5,N,Net,1,0,0,1,1,0,0,0,15,,,181,,,,35,,,,Species,Species,0,1,0,2,1,4,,,,,,,,,,Y,,,Y,Y,,Y,,,
62,"Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",Europe,Austria,,2016,1,16,1,,5,N,Net,1,0,0,1,1,0,0,0,15,,,329,,,,64,,,,Species,Species,0,1,0,2,1,4,,,,,,,,,,Y,,,Y,Y,,Y,,,
62,"Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",Europe,Romania,,2016,1,16,1,,5,N,Net,1,0,0,1,1,0,0,0,15,,,77,,,,38,,,,Species,Species,0,1,0,2,1,4,,,,,,,,,,Y,,,Y,Y,,Y,,,
63,"Size, age and surrounding semi-natural habitat modulate the effectiveness of flower-rich agri-environment schemes promote pollinator visitation in crop fields",Europe,Germany,,2016,1,27,1,,2,N,Net,1,0,0,1,1,0,0,0,30,,,5862,,,,56,,,,Species,Species,1,1,0,1,0,3,,,,Y,,,,,Y,,,,,Y,,,,,
64,The effect of adjacent habitat on native bee assemblages in a perennial low-input agroecosystem in a semiarid anthropized landscape,North America,Mexico,,2016,2,13,1,,1,N,Pan traps,0,1,0,1,0,1,0,0,,1.25,,,3823,,,,45,,,"Genus, Species",Species,1,1,0,0,0,2,,Y,,,,,,,Y,,,,,,,,,,
56,How bees respond differently to field margins of shrubby and herbaceous plants in intensive agricultural crops of the Mediterranean area,Europe,Spain,,2011,2,6,1,,7,N,Pan traps,0,1,0,1,0,1,0,0,,14,,,6077,,,,58,,,"Family, Genus, Morpho-species, Species",Species,1,1,0,2,0,4,,Y,,,,,,,Y,,,,Y,Y,,,,,
65,Flower visitation and land cover associations of above ground- and below ground-nesting native bees in an agricultural region of south-east Australia,Oceania,Australia,,2017,1,14,1,,4,N,Visual,0,0,1,1,0,0,1,0,,,40,,,3287,,,,8,,Morpho-species,Morphospecies,0,2,0,1,0,3,,,,,,,,,Y,Y,,,,,Y,,,,
66,Noncrop Habitat Use by Wild Bees (Hymenoptera: Apoidea) in a Mixed-Use Agricultural Landscape,North America,USA,ME,2014,2,56,1,,3,Y,"Net, Pan traps",1,1,0,2,0,0,0,0,30,1,,,,,2094,,,,135,Species,Species,1,1,0,2,1,5,Y,,,,,,,,Y,,,,Y,Y,,Y,,,
67,Seasonal abundance and diversity of native bees in a patchy agricultural landscape in Southern Mexico,North America,Mexico,,2014,1,4,1,,12,N,Net,1,0,0,1,1,0,0,0,60,,,2115,,,,79,,,,Species,Species,0,1,0,0,0,1,,,,,,,,,Y,,,,,,,,,,
68,Small wild bee abundance declines with distance into strawberry crops regardless of field margin habitat,North America,Canada,,2018,1,12,1,,2,N,Net,1,0,0,1,1,0,0,0,15,,,784,,,,70,,,,Species,Species,1,2,0,1,0,4,,Y,,,,,,,Y,Y,,,,Y,,,,,
69,The potential for wildflower interventions to enhance natural enemies and pollinators in commercial apple orchards is limited by other management practices,Europe,UK,,2013,4,10,1,,3,N,Net,1,0,0,1,1,0,0,0,10,,,1002,,,,42,,,,Species,Species,2,0,1,0,1,4,Y,,,Y,,,,,,,Y,,,,,,Y,,
70,Planted pollinator habitat in agroecosystems: How does the pollinator community respond?,North America,USA,NC,2016,3,12,1,,4,N,Net,1,0,0,1,1,0,0,0,60,,,11896,,,,117,,,,"Genus, Species",Species,2,1,0,2,1,6,,,,Y,,Y,,Y,,,,,Y,Y,,Y,,,
70,Planted pollinator habitat in agroecosystems: How does the pollinator community respond?,North America,USA,NC,2016,3,16,1,,4,N,Pan traps,0,1,0,1,0,1,0,0,,0.25,,,4142,,,,55,,,"Genus, Species",Species,2,1,0,0,0,3,,,,Y,,Y,,Y,,,,,,,,,,,
71,Effects of planted pollinator habitat on pathogen prevalence and interspecific detection between bee species,North America,USA,NC,2017,2,12,1,,4,N,Net,1,0,0,1,1,0,0,0,30,,,1643,,,,28,,,,"Genus, Species",Species,1,1,0,2,1,5,,,,Y,,,,Y,,,,,Y,Y,,,,Y,
